Type,Name,Process time
Combined,randomOverUnderSampling,1
Oversampling,randomOverSampling,0
Oversampling,smoteOverSampling,1
Undersampling,nearMissV1,5
Undersampling,nearMissV2,56
Undersampling,oneSidedSelection,327
Undersampling,randomUnderSampling,0
Undersampling,tomekLinks,2701
